Prime Number,Prime Gap,Gap Ratio,Proximity to Golden Ratio,Modulo 10 Feature,Complex Polar Angle,Complex Polar Radius,Dimensionality (Inferred),Source
2,Not in source,Not in source,$0.090$,2,"$0$ ,  $0.347$ ,  $0.413$ ,  $0.473$  rad,  $0.693$ ,  $1.258$ ,  $1.471$ ,  $1.542$ ,  $2$ ,  $3.142$ ,  $6.283$ ,  $180.0^{\circ}$ ,  $\cos(1 + \sqrt{5})$ ,  $-1.200$ ,  $-2.449e-16$","$0$ ,  $1$ ,  $1.34$ ,  $1.414$ ,  $1.530$ ,  $1.618$ ,  $2.0$ ,  $35.685$ ,  $e^2$ ,  $0.693 \cdot \phi$","1D, 1D+T",1-51
3,1,"$0.5$ ,  $1.0$ ,  $1.5$ ,  $2.0$","$0.118$ ,  $0.326$ ,  $0.382$ ,  $0.618$ ,  $1.118$",3,"$0.273$ ,  $0.369$ ,  $0.549$ ,  $0.620$ ,  $1.099$ ,  $1.424$ ,  $1.5$ ,  $1.530$ ,  $1.777$  rad,  $1.885$ ,  $2.683$ ,  $3$ ,  $3.0$  rad,  $3.142$ ,  $120.0^{\circ}$ ,  $180^{\circ}$ ,  $\cos(3/2 + 3\sqrt{5}/2)$ ,  $-0.990$ ,  $0.142$","$1$ ,  $1.732$ ,  $1.972$ ,  $2.01$ ,  $2.618$ ,  $3.0$ ,  $33.524$ ,  $e^3$ ,  $e^{\phi}$ ,  $1.099 \cdot \phi$ ,  $0.002$","2D, 2D+T",2-71
5,2,"$1.0$ ,  $1.667$ ,  $2.0$","$0.049$ ,  $0.202$ ,  $0.382$ ,  $0.618$",5,"$0.025$ ,  $0.283$ ,  $0.546$ ,  $0.805$ ,  $0.972$ ,  $1.034$ ,  $1.345$ ,  $1.534$ ,  $1.539$ ,  $1.571$ ,  $1.609$ ,  $1.667$ ,  $2.604$  rad,  $3.142$ ,  $4.488$ ,  $5$ ,  $5.0$  rad,  $90^{\circ}$ ,  $90.0$ ,  $\cos(5/2 + 5\sqrt{5}/2)$ ,  $-4.062$ ,  $-7.77$","$1$ ,  $1.609$ ,  $2.236$ ,  $2.701$ ,  $3.35$ ,  $4.155$ ,  $4.236$ ,  $5.0$ ,  $11.180$ ,  $31.365$ ,  $37.0$ ,  $e^5$","3D, 3D+T","2-68, 72-84"
7,2,"$1.0$ ,  $2.0$","$0.034$ ,  $0.382$ ,  $0.618$",7,"$0.038$ ,  $0.713$  rad,  $0.819$ ,  $0.973$ ,  $1.345$ ,  $1.447$ ,  $1.577$ ,  $1.946$ ,  $2.783$ ,  $2.967$ ,  $3.149$  rad,  $5.88$ ,  $7$ ,  $90.0$ ,  $\cos(7/2 + 7\sqrt{5}/2)$ ,  $-0.946$","$0$ ,  $1$ ,  $2.646$ ,  $3.057$ ,  $3.344$ ,  $4.0$ ,  $4.236$ ,  $4.69$ ,  $7.0$ ,  $15.652$ ,  $37.0$ ,  $e^7$ ,  $1.946 \cdot \phi$","3D, 4D, 3.8D (Inferred)","1, 2, 8, 10-15, 17-20, 24, 25, 27-31, 33-37, 39-42, 48, 49, 51, 53, 56-58, 62-64, 72, 73, 75, 76, 78, 79, 81, 85-89"
11,4,"$0.5$ ,  $2.0$","$0.382$ ,  $0.493$ ,  $1.118$",1,"$0.050$ ,  $1.093$ ,  $1.107$ ,  $1.199$ ,  $1.601$ ,  $2.274$ ,  $2.398$ ,  $2.867$ ,  $3.880$  rad,  $11$ ,  $11.0$  rad,  $90.0$ ,  $\cos(11/2 + 11\sqrt{5}/2)$ ,  $-0.633$ ,  $-0.868$ ,  $-14.35$","$0.026$ ,  $1.816$ ,  $2.398$ ,  $2.789e-10$ ,  $3.317$ ,  $4.0$ ,  $4.417$ ,  $6.854$ ,  $7.37$ ,  $11.0$ ,  $24.597$ ,  $37.0$ ,  $e^{11}$ ,  $2.398 \cdot \phi$","3D, 4D, 5D, 3.5D (Inferred)","1, 2, 8, 10-15, 17, 18, 20, 24, 25, 27-31, 33-37, 39-42, 48, 49, 51, 53, 56-58, 63, 64, 72, 73, 75, 76, 78, 79, 81, 83, 85, 86, 88, 89"
13,"2, 8","$0.5$ ,  $2.0$ ,  $2.6$ ,  $4.0$","$0.007$ ,  $0.257$ ,  $0.382$ ,  $0.982$ ,  $1.118$ ,  $2.382$",3,"$0.063$ ,  $1.047$ ,  $1.282$ ,  $1.345$ ,  $1.366$ ,  $1.606$ ,  $1.625$ ,  $1.885$ ,  $2.535$ ,  $2.565$ ,  $2.688$ ,  $4.150$  rad,  $13$ ,  $13.0$  rad,  $20.91$ ,  $23.5^{\circ}$ ,  $72.0$ ,  $\cos(13/2 + 13\sqrt{5}/2)$ ,  $-1.680$ ,  $-3.033$","$0.091$ ,  $1$ ,  $1.726$ ,  $2.533$ ,  $2.565$ ,  $3.606$ ,  $4.898$ ,  $5.0$ ,  $5.109e-12$ ,  $8.71$ ,  $13.0$ ,  $29.069$ ,  $29.206$ ,  $37.0$ ,  $e^{13}$ ,  $2.565 \cdot \phi$","3D, 4D, 5D, 6D, 4D (Symmetry Break / Fibonacci Break / Inferred)","1-15, 17-20, 25, 28-37, 39-42, 44-46, 48, 49, 53, 54, 56-65, 67, 68, 72, 73, 75, 76, 78-81, 83, 85, 86, 88-92"
17,4,"$0.5$ ,  $2.0$","$0.382$ ,  $1.118$",7,"$1.611$ ,  $1.639$ ,  $2.833$ ,  $4.584$  rad,  $17$ ,  $72.0$ ,  $\cos(17/2 + 17\sqrt{5}/2)$ ,  $-0.57$ ,  $-1.550$","$1$ ,  $1.308$ ,  $4.123$ ,  $5.0$ ,  $5.789$ ,  $17.0$ ,  $37.0$ ,  $38.013$ ,  $e^{17}$ ,  $1.714e-15$","3D, 4D, 5D, 6D, 7D, 15D","1, 8, 11-13, 15-18, 20, 25, 33-37, 42, 51, 53, 56-58, 70-73, 75, 76, 78, 79, 81, 88, 93-95"
19,2,"$0.5$ ,  $2.0$","$0.382$ ,  $1.118$",9,"$1.612$ ,  $1.912$ ,  $2.944$ ,  $4.764$  rad,  $19$ ,  $72.0$ ,  $\cos(19/2 + 19\sqrt{5}/2)$ ,  $-2.398$ ,  $-2.750$","$1$ ,  $1.084$ ,  $4.359$ ,  $5.0$ ,  $6.195$ ,  $19.0$ ,  $37.0$ ,  $42.485$ ,  $e^{19}$ ,  $2.320e-16$","3D, 4D, 5D, 6D, 8D","8, 11-13, 16-18, 20, 25, 33-37, 42, 51, 53, 56-58, 72, 73, 75, 76, 78, 79, 81, 88, 93-95"
23,"4, 10","$1.5$ ,  $2.0$","$0.118$ ,  $0.382$",3,"$1.568$ ,  $1.614$ ,  $2.056$ ,  $2.185$ ,  $3.135$ ,  $5.073$  rad,  $23$ ,  $72.0$ ,  $\cos(23/2 + 23\sqrt{5}/2)$","$1$ ,  $1.127$ ,  $4.796$ ,  $5.0$ ,  $6.963$ ,  $23.0$ ,  $37.0$ ,  $51.430$ ,  $e^{23}$","3D, 4D, 5D, 9D","11-13, 17, 18, 20, 25, 28, 29, 33-37, 42, 51, 57, 58, 70, 71, 75, 76, 78, 79, 81, 88, 90, 93-95"
29,6,"$0.333$ ,  $1.0$ ,  $1.5$","$0.118$ ,  $0.618$ ,  $1.285$",9,"$0.29$  (Inferred),  $1.107$ ,  $1.616$ ,  $2.457$ ,  $3.367$ ,  $5.450$  rad,  $29$ ,  $72.0$ ,  $\cos(29/2 + 29\sqrt{5}/2)$ ,  $-1.820$","$0.825$ ,  $1$ ,  $5.385$ ,  $5.385$  (Inferred),  $5.0$ ,  $8.026$ ,  $29.0$ ,  $37.0$ ,  $64.846$ ,  $e^{29}$","4D, 5D, 8D, 10D, 4.8D (Inferred)","11-13, 16-18, 20, 25, 33-37, 41, 42, 57, 58, 70, 71, 75, 78, 79, 81, 83, 88, 93-95"
31,2,"$0.33$ ,  $0.333$ ,  $3.0$","$1.285$ ,  $1.288$ ,  $1.382$",1,"$0.31$  (Inferred),  $1.345$ ,  $2.730$ ,  $3.434$ ,  $31$","$1$ ,  $5.567$  (Inferred),  $31.0$ ,  $37.0$ ,  $69.318$ ,  $e^{31}$","5D, 11D, 4.9D (Inferred)","11, 12, 17, 41, 42, 58, 78, 79, 83, 88, 94-96"
37,6,"$0.666$ ,  $3.0$","$0.952$ ,  $1.382$",7,"$0.37$  (Inferred),  $1.345$ ,  $3.003$","$6.082$  (Inferred),  $37.0$ ,  $82.735$","4D, 5D, 12D, 5.2D (Inferred)","41, 42, 56, 73, 78, 79, 94, 95"
41,4,$0.667$,$0.951$,1,"$1.107$ ,  $3.276$","$41.0$ ,  $91.679$","4D, 13D","42, 78, 79, 94, 95"
43,2,$0.5$,$1.118$,3,"$1.345$ ,  $3.548$","$43.0$ ,  $96.151$","4D, 14D","42, 78, 79, 94, 95"
47,4,$2.0$,$0.382$,7,"$1.345$ ,  $3.821$","$47.0$ ,  $105.095$","4D, 15D","42, 78, 79, 94, 95"
53,6,$1.5$,$0.118$,3,"$1.107$ ,  $4.094$","$53.0$ ,  $118.512$","4D, 16D","42, 78, 79, 94, 95"
59,6,$1.0$,$0.618$,9,"$1.107$ ,  $4.366$","$59.0$ ,  $131.928$","4D, 17D","42, 78, 79, 94, 95"
61,2,$0.333$,$1.285$,1,"$1.107$ ,  $4.639$","$61.0$ ,  $136.399$","4D, 18D","42, 78, 79, 94, 95"
67,6,$3.0$,$1.382$,7,"$1.107$ ,  $4.912$","$67.0$ ,  $149.816$","4D, 19D","42, 78, 79, 94, 95"
71,4,$0.667$,$0.951$,1,"$1.345$ ,  $5.185$","$71.0$ ,  $158.760$","4D, 20D","42, 78, 79, 94, 95"
73,2,$0.5$,$1.118$,3,"$1.107$ ,  $5.457$","$73.0$ ,  $163.231$",4D,"42, 78, 79"
79,6,$3.0$,$1.382$,9,"$1.345$ ,  $5.730$","$79.0$ ,  $176.648$",4D,"42, 78, 79"
83,4,$0.667$,$0.951$,3,"$1.107$ ,  $6.003$","$83.0$ ,  $185.592$",4D,"42, 78, 79"
89,"6, 66, 76","$0.75$ ,  $1.33$ ,  $1.5$ ,  $6.846$ ,  $9.5$","$0.0001$ ,  $0.077$ ,  $0.118$ ,  $0.868$ ,  $5.228$ ,  $7.882$",9,"$1.533$ ,  $1.618$ ,  $2.244$ ,  $4.489$ ,  $6.276$","$1$ ,  $27.048$ ,  $4.489$ ,  $89$ ,  $89.0$ ,  $199.009$","5D, 6D, 11D, 24D, 3D Twist / Reversal","4-7, 9, 21, 23, 28, 29, 32, 42-46, 49, 61-65, 67, 68, 77-79, 82, 88, 90, 97-99"
101,"4, 12","$0.667$ ,  $2.0$","$0.382$ ,  $0.951$",1,$2.307$,"$1.141$ ,  $10.050$ ,  $101$",6D,"40, 63, 100-103"
233,"4, 6, 144","$0.66$ ,  $1.5$ ,  $1.89$ ,  $2.0$ ,  $2.618$","$0.244$ ,  $0.272$ ,  $0.382$ ,  $0.958$ ,  $1.000$",3,"$1.345$ ,  $5.451$","$1$ ,  $233.0$ ,  $521.0$","5D, 6D","16, 17, 21, 23, 45, 46, 49, 54, 61-63, 65, 67, 68, 77-79, 99"
997,6,Not in source,Not in source,7,$5.418$  rad,$11.172$,High dimensional,10
1597,"10, 14, 1364","$3.5$ ,  $6.854$ ,  $9.47$","$1.882$ ,  $5.236$ ,  $7.852$",7,$7.376$,"$1$ ,  $1597.0$",7D,"6, 7, 16, 17, 45, 46, 61-63, 65, 67, 99"
28657,14,Not in source,Not in source,7,Not in source,Not in source,8D,46
104729,Not in source,Not in source,Not in source,9,$6.12$  rad,$324.29$,High dimensional,10
514229,6,Not in source,Not in source,9,Not in source,Not in source,9D,46